Id,season,league_name,Club,MP,W,D,L,Pts,GF,GA,GD,avg_goals
1351,2015/2016,Germany Bundesliga 1,FC Bayern Munich,34,28,4,2,88,80,17,63,2.3529411764705883
1209,2014/2015,Netherlands Eredivisie,PSV,34,29,1,4,88,92,31,61,2.7058823529411766
1449,2015/2016,Spain LIGA BBVA,Atlético Madrid,38,28,4,6,88,63,18,45,1.6578947368421053
161,2008/2009,Spain LIGA BBVA,FC Barcelona,38,27,6,5,87,105,35,70,2.763157894736842
1076,2013/2014,Spain LIGA BBVA,FC Barcelona,38,27,6,5,87,100,33,67,2.6315789473684212
1085,2013/2014,Spain LIGA BBVA,Real Madrid CF,38,27,6,5,87,104,38,66,2.736842105263158
339,2009/2010,Scotland Premier League,Rangers,38,26,9,3,87,82,28,54,2.1578947368421053
1185,2014/2015,Italy Serie A,Juventus,38,26,9,3,87,72,24,48,1.894736842105263
824,2012/2013,Italy Serie A,Juventus,38,27,6,5,87,71,24,47,1.868421052631579
1121,2014/2015,England Premier League,Chelsea,38,26,9,3,87,73,32,41,1.9210526315789473
208,2009/2010,England Premier League,Chelsea,38,27,5,6,86,103,32,71,2.710526315789474
941,2013/2014,England Premier League,Manchester City,38,27,5,6,86,102,37,65,2.6842105263157894
1437,2015/2016,Scotland Premier League,Celtic,38,26,8,4,86,93,31,62,2.4473684210526314
1431,2015/2016,Portugal Liga ZON Sagres,Sporting CP,34,27,5,2,86,79,21,58,2.323529411764706
26,2008/2009,England Premier League,Liverpool,38,25,11,2,86,77,27,50,2.026315789473684
155,2008/2009,Scotland Premier League,Rangers,38,26,8,4,86,77,28,49,2.026315789473684
284,2009/2010,Netherlands Eredivisie,FC Twente,34,27,5,2,86,63,23,40,1.8529411764705883
282,2009/2010,Netherlands Eredivisie,Ajax,34,27,4,3,85,106,20,86,3.1176470588235294
1244,2014/2015,Portugal Liga ZON Sagres,SL Benfica,34,27,4,3,85,86,16,70,2.5294117647058822
912,2012/2013,Spain LIGA BBVA,Real Madrid CF,38,26,7,5,85,103,42,61,2.710526315789474
214,2009/2010,England Premier League,Manchester United,38,27,4,7,85,86,28,58,2.263157894736842
1005,2013/2014,Italy Serie A,Roma,38,26,7,5,85,72,25,47,1.894736842105263
503,2010/2011,Portugal Liga ZON Sagres,FC Porto,30,27,3,0,84,73,16,57,2.433333333333333
